p_sex	p_age	p_size	p_edu	p_nuts3	p_income	p_house_income	s1	s2_1	s2_2	s2_3	s2_4	s2_5	s3_1	s3_2	s3_3	s3_4	s3_5	s3_6	s3_7	s3_8	s3_9	s3_10	s3_11	s3_12	s4_1	s4_2	s4_3	s4_4	s5	s6	s6_code1	s6_code2	s6_code3	s7_1	s7_2	s7_2_code1	s7_2_code2	s7_2_code3	s8_1	s8_2	s8_2_code1	s8_2_code2	s8_2_code3	s10	s10_O_T_H	s11_1	s11_2	s11_3	s11_4	s9_1	s9_1_code1	s9_1_code2	s9_1_code3	s9_1_code4	s9_2	s9_2_code1	s9_2_code2	s9_2_code3
2	56	1	4	6	4	5	1	20	10	70	0	100	3	1	3	4	2	1	2	2	3	13	12	80	3	2	1	4	3	jednoduché,dostupné.	3	 	 	regionální	informace z okresu	2	 	 	 nemám	ádnı	99	 	 	2	sys_empty	2	0	0	0	pouze  v èekárnì u lékaøe -	8	 	 	 	kdy nestichnu televizní zpravodajství	6	 	 
1	22	5	3	5	3	10	1	22	22	22	34	100	1	1	1	1	1	1	1	1	1	99	 	 	1	1	1	1	1	aaaaaaaaaaaaa	99	 	 	aaa	aaa	99	 	 	aaa	aaa	99	 	 	666	3500	1	4	3	2	aaaa	99	 	 	 	aaa	99	 	 
1	39	2	3	7	6	4	1	0	50	40	10	100	3	1	2	2	3	3	4	2	4	-9	 	 	2	1	1	3	2	pøehlednost, rychlá aktualizace	2	1	 	e15	zajímám se o ekonomiku	2	 	 	akcie	zajímám se o akcie	4	 	 	666	50	3	4	1	0	na obìdì	6	 	 	 	vdy	1	 	 
1	30	6	4	1	7	7	1	5	75	10	10	100	2	1	2	1	2	2	4	3	4	-9	 	 	4	1	2	3	2	je to rychlé a jednoduché, vše ihned k dispozivci	1	3	 	novinky	aktuálnì	1	 	 	aktuálnì	novinky	1	 	 	2	sys_empty	2	4	0	0	se mì dostanou do ruky	2	 	 	 	jsou vdy aktuální	8	 	 
2	25	4	3	11	3	4	1	3	70	20	7	100	2	4	1	2	3	3	2	1	4	-9	 	 	3	1	1	3	2	vyuívám	80	 	 	deník	ráda je ètu	4	 	 	aktuálnì	prostì je	99	 	 	2	sys_empty	1	0	0	0	kdyı je pøítel koupí	2	 	 	 	denního vyuití	1	 	 
1	28	3	3	2	5	7	1	1	15	84	0	100	2	2	2	1	2	3	4	2	4	-9	 	 	4	1	1	3	2	Nejrychlejší zpùsob, jak se dozvìdìt o novinkách	1	 	 	Dnes	pøehledné	2	 	 	Aktuálnì	rychlé zprávy	1	 	 	2	sys_empty	1	4	0	0	---	99	 	 	 	Rychlé zprávy	8	 	 
2	45	3	2	11	3	88	1	0	50	50	0	100	2	3	2	3	2	2	2	1	3	80	 	 	5	1	1	5	3	je to nejjednodušší forma  získání zpráv	3	 	 	sys_filtered_off	sys_filtered_off	-9	 	 	Aktuálnì -cz	nevím, líbí se mi	8	 	 	2	sys_empty	2	1	0	0	sys_filtered_off	-9	 	 	 	neètu tištìné  noviny, jen  internetové a právì proto e nekupuji ádnı tisk	80	 	 
2	25	6	3	7	4	7	1	0	10	40	50	100	3	2	1	2	3	3	3	2	4	-9	 	 	5	1	1	1	3	patøí to k mému veèeru, dozvím se to nejdùleitìjší	8	2	 	sys_filtered_off	sys_filtered_off	-9	 	 	aktualne.cz	na centrumu mám e-mail, take po odhlášení sem tam automaticky "hozena" .. je vcelku pøehlednı	3	 	 	2	sys_empty	1	2	3	0	sys_filtered_off	-9	 	 	 	prakticky kadı den, protoe jsem kadı den na internetu	1	 	 
2	22	6	3	6	2	4	1	60	30	10	0	100	2	2	2	4	2	2	4	2	4	-9	 	 	1	1	2	2	1	Chodí mi kadé ráno do schránky.	3	 	 	MF Dnes	celkem spolehlivé informace	3	 	 	aktuálnì.cz	pøístup z domovské stránky	3	 	 	2	sys_empty	4	2	0	0	ráno k snídani doma	6	 	 	 	v práci, ve škole na cestì - nudím se a vyplním tak èas	2	7	 
1	26	4	3	9	88	99	1	1	5	90	4	100	3	1	3	3	3	3	4	2	2	18	15	 	4	3	1	3	6	sys_filtered_off	-9	 	 	mf dnes	nevím	99	 	 	aktuálnì.cz	?	99	 	 	2	sys_empty	1	4	0	0	jsou zdarma u mhd	2	 	 	 	mám èas / nudím se	7	 	 
