p_sex,p_age,p_size,p_edu,p_nuts3,p_income,p_house_income,s1,s2_1,s2_2,s2_3,s2_4,s2_5,s3_1,s3_2,s3_3,s3_4,s3_5,s3_6,s3_7,s3_8,s3_9,s3_10,s3_11,s3_12,s4_1,s4_2,s4_3,s4_4,s5,s6,s6_code1,s6_code2,s6_code3,s7_1,s7_2,s7_2_code1,s7_2_code2,s7_2_code3,s8_1,s8_2,s8_2_code1,s8_2_code2,s8_2_code3,s10,s10_O_T_H,s11_1,s11_2,s11_3,s11_4,s9_1,s9_1_code1,s9_1_code2,s9_1_code3,s9_1_code4,s9_2,s9_2_code1,s9_2_code2,s9_2_code3
ena,56,Vesnice do 999 obyvatel,VŠ,6,4,5,Ano,20,10,70,0,100,Málo mì zajímá,Velmi mnì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Vaøení,Hobby,Jiná,1-2x tıdnì,3-4x tıdnì,Dennì /témìø dennì,Ménì èasto,Televizní zpravodajství,"jednoduché,dostupné.",Dostupnost,,,regionální,informace z okresu,Obsah (zamìøení i rozsah),,, nemám,ádnı,Neuvedl,,,Ne,sys_empty,Internetové zpravodajství ètu na notebooku,0,0,0,pouze  v èekárnì u lékaøe -,"V èekárnì, restauraci",,,,kdy nestichnu televizní zpravodajství,Kdy nemám èas na jiná média,,
Mu,22,Mìsto s 20000 - 99999 obyvateli,Maturita,5,3,10,Ano,22,22,22,34,100,Velmi mnì zajímá,Velmi mnì zajímá,Velmi mnì zajímá,Velmi mnì zajímá,Velmi mnì zajímá,Velmi mnì zajímá,Velmi mnì zajímá,Velmi mnì zajímá,Velmi mnì zajímá,Neuvedl,,,Dennì /témìø dennì,Dennì /témìø dennì,Dennì /témìø dennì,Dennì /témìø dennì,Noviny - denní tisk,aaaaaaaaaaaaa,Neuvedl,,,aaa,aaa,Neuvedl,,,aaa,aaa,Neuvedl,,,"Ano, vypište prosím maximáílní pøípustnou èástku za mìsíc:",3500,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na mobilu,Internetové zpravodajství ètu na tabletu,Internetové zpravodajství ètu na notebooku,aaaa,Neuvedl,,,,aaa,Neuvedl,,
Mu,39,Obec s 1000 - 1999 obyvateli,Maturita,7,6,4,Ano,0,50,40,10,100,Málo mì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,"-9,00",,,3-4x tıdnì,Dennì /témìø dennì,Dennì /témìø dennì,1-2x tıdnì,"Internetové zpravodajské deníky, servery","pøehlednost, rychlá aktualizace",Pøehled událostí,"Aktuálnost, rychlost",,e15,zajímám se o ekonomiku,Obsah (zamìøení i rozsah),,,akcie,zajímám se o akcie,Rozsah,,,"Ano, vypište prosím maximáílní pøípustnou èástku za mìsíc:",50,Internetové zpravodajství ètu na tabletu,Internetové zpravodajství ètu na mobilu,Internetové zpravodajství ètu na stolním poèítaèi,0,na obìdì,"Kdy odpoèívám/mám pauzu, kdy chci",,,,vdy,Navštìvuji dennì,,
Mu,30,Velkomìsto nad 100 000 obyvatel,VŠ,1,7,7,Ano,5,75,10,10,100,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,Málo mì zajímá,Vùbec mì nezajímá,"-9,00",,,Ménì èasto,Dennì /témìø dennì,3-4x tıdnì,1-2x tıdnì,"Internetové zpravodajské deníky, servery","je to rychlé a jednoduché, vše ihned k dispozivci","Aktuálnost, rychlost",Dostupnost,,novinky,aktuálnì,Aktuálnost,,,aktuálnì,novinky,"Rychlost, aktuálnost",,,Ne,sys_empty,Internetové zpravodajství ètu na notebooku,Internetové zpravodajství ètu na mobilu,0,0,se mì dostanou do ruky,Kdy je dostanu/nìkdo je koupí,,,,jsou vdy aktuální,"Je aktuální, kdykoli dostupné",,
ena,25,Mìsto s 5000 - 19999 obyvateli,Maturita,11,3,4,Ano,3,70,20,7,100,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Vùbec mì nezajímá,"-9,00",,,1-2x tıdnì,Dennì /témìø dennì,Dennì /témìø dennì,1-2x tıdnì,"Internetové zpravodajské deníky, servery",vyuívám,Jiné,,,deník,ráda je ètu,"Ze zvyku, líbí se mi",,,aktuálnì,prostì je,Neuvedl,,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,0,0,0,kdyı je pøítel koupí,Kdy je dostanu/nìkdo je koupí,,,,denního vyuití,Navštìvuji dennì,,
Mu,28,Obec s 2000 - 4999 obyvateli,Maturita,2,5,7,Ano,1,15,84,0,100,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,"-9,00",,,Ménì èasto,Dennì /témìø dennì,Dennì /témìø dennì,1-2x tıdnì,"Internetové zpravodajské deníky, servery","Nejrychlejší zpùsob, jak se dozvìdìt o novinkách","Aktuálnost, rychlost",,,Dnes,pøehledné,Obsah (zamìøení i rozsah),,,Aktuálnì,rychlé zprávy,"Rychlost, aktuálnost",,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na mobilu,0,0,---,Neuvedl,,,,Rychlé zprávy,"Je aktuální, kdykoli dostupné",,
ena,45,Obec s 2000 - 4999 obyvateli,Vyuèen,11,3,88,Ano,0,50,50,0,100,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Málo mì zajímá,Jiná,,,Vùbec,Dennì /témìø dennì,Dennì /témìø dennì,Vùbec,Televizní zpravodajství,je to nejjednodušší forma  získání zpráv,Dostupnost,,,sys_filtered_off,sys_filtered_off,-9,,,Aktuálnì -cz,"nevím, líbí se mi","Vyhovuje, mám rád/a",,,Ne,sys_empty,Internetové zpravodajství ètu na notebooku,Internetové zpravodajství ètu na stolním poèítaèi,0,0,sys_filtered_off,-9,,,,"neètu tištìné  noviny, jen  internetové a právì proto e nekupuji ádnı tisk",Jiné,,
ena,25,Velkomìsto nad 100 000 obyvatel,Maturita,7,4,7,Ano,0,10,40,50,100,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Velmi mnì zajímá,Èásteènì /nìkdy mì zajímá,Málo mì zajímá,Málo mì zajímá,Málo mì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,"-9,00",,,Vùbec,Dennì /témìø dennì,Dennì /témìø dennì,Dennì /témìø dennì,Televizní zpravodajství,"patøí to k mému veèeru, dozvím se to nejdùleitìjší","Mám rád/a, je to zvyk, vyhovuje forma",Pøehled událostí,,sys_filtered_off,sys_filtered_off,-9,,,aktualne.cz,"na centrumu mám e-mail, take po odhlášení sem tam automaticky ""hozena"" .. je vcelku pøehlednı","Zvyk, nastavená DS",,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na notebooku,Internetové zpravodajství ètu na tabletu,0,sys_filtered_off,-9,,,,"prakticky kadı den, protoe jsem kadı den na internetu",Navštìvuji dennì,,
ena,22,Velkomìsto nad 100 000 obyvatel,Maturita,6,2,4,Ano,60,30,10,0,100,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Vùbec mì nezajímá,"-9,00",,,Dennì /témìø dennì,Dennì /témìø dennì,3-4x tıdnì,3-4x tıdnì,Noviny - denní tisk,Chodí mi kadé ráno do schránky.,Dostupnost,,,MF Dnes,celkem spolehlivé informace,"Pravdivé, kvalitní",,,aktuálnì.cz,pøístup z domovské stránky,"Zvyk, nastavená DS",,,Ne,sys_empty,Internetové zpravodajství ètu na mobilu,Internetové zpravodajství ètu na notebooku,0,0,ráno k snídani doma,"Kdy odpoèívám/mám pauzu, kdy chci",,,,"v práci, ve škole na cestì - nudím se a vyplním tak èas",Kdy jsem doma/v práci,Kdy se nudím/relaxuji,
Mu,26,Mìsto s 5000 - 19999 obyvateli,Maturita,9,88,99,Ano,1,5,90,4,100,Málo mì zajímá,Velmi mnì zajímá,Málo mì zajímá,Málo mì zajímá,Málo mì zajímá,Málo mì zajímá,Vùbec mì nezajímá,Èásteènì /nìkdy mì zajímá,Èásteènì /nìkdy mì zajímá,Vìda,Technika,,Ménì èasto,1-2x tıdnì,Dennì /témìø dennì,1-2x tıdnì,Nevím /je to jedno,sys_filtered_off,"-9,00",,,mf dnes,nevím,Neuvedl,,,aktuálnì.cz,?,Neuvedl,,,Ne,sys_empty,Internetové zpravodajství ètu na stolním poèítaèi,Internetové zpravodajství ètu na mobilu,0,0,jsou zdarma u mhd,Kdy je dostanu/nìkdo je koupí,,,,mám èas / nudím se,Kdy se nudím/relaxuji,,
