age	sex	edu	s4	s5	c1	c2_1	c2_2	c3	c4	c5	c5_O_T_H	c6_1	c6_2	c6_3	c6_4	c6_5	c6_6	m1_1	m1_2	m1_3	m1_4	m1_5	m1_6	m1_7	m1_8	s6	agecat	educat
43	1	3	7	4	1	2	2	2	2	666	nìkolik mìsícù	1	1	1	2	2	2	9	9	8	9	2	5	4	7	666	2	3
25	1	3	11	6	2	2	2	1	2	666	Velmi rychle :-)	2	2	1	2	2	1	8	8	6	7	3	5	4	3	1	1	3
21	1	3	11	1	1	1	2	2	1	666	mìsíc	1	1	1	2	2	1	1	2	3	4	4	5	6	5	1	1	3
30	2	3	2	3	2	1	1	1	1	666	Maximálnì 2 mìsíce. Na více mìsícù nemám finanèní rezervu a musela bych pøijmout jakoukoli práci.	1	1	1	2	1	1	5	4	3	5	8	10	10	10	8	2	3
27	2	2	13	2	2	1	3	1	1	666	Asi hodnì dlouho,mám i zdravotní problémy,tak bych nemohla dìlat vše	1	1	1	1	1	1	3	3	4	5	7	7	7	7	666	1	1
38	2	3	8	1	1	2	2	2	1	666	pùl roku	1	1	1	2	1	1	9	8	8	9	7	6	5	6	666	2	3
40	1	3	13	3	1	3	3	1	2	2	sys_empty	1	1	1	2	1	1	4	4	5	5	7	8	8	9	4	2	3
38	2	2	3	4	1	1	1	1	1	666	snad do mìsíce by jsem práci mìla,ale nic není jisté	2	1	1	1	1	1	10	10	10	10	10	10	10	8	4	2	1
20	2	1	10	1	2	3	3	2	1	666	neodkáu øíci, protoe jsem studentka, ale vzhldem k tomu jak pozoruji a vidím e je tìké sehnat i brigádu, nato práci, tak si myslím e asi dlouho.	1	1	1	1	2	1	4	2	1	8	8	9	9	7	1	1	1
55	1	3	2	1	1	1	1	1	1	666	pùl roku a více	1	1	1	2	2	1	4	4	2	5	6	9	6	10	666	3	3
32	2	4	9	4	1	3	3	1	1	666	pùl roku	1	1	1	1	1	1	9	8	6	6	5	5	8	9	5	2	4
